Story ID,Epic,Epic 編號,標題,User Story,驗收條件 (Acceptance Criteria),優先級,狀態,Sprint
US-01,帳號管理,Epic 1,使用者註冊,"身為新訪客，我想要以手機號碼或 Email 註冊帳號，以便後續追蹤預約記錄。","1. 需驗證 OTP（簡訊或信箱）
2. 重複帳號顯示明確提示
3. 需勾選同意服務條款與隱私政策",Must Have,待開始,Sprint 1
US-02,帳號管理,Epic 1,使用者登入,"身為已有帳號的使用者，我想要以手機 OTP 或 Email 登入，以便安全存取個人資料。","1. OTP 效期 5 分鐘
2. 失敗 5 次後鎖定帳號 30 分鐘
3. 登入後導向個人首頁",Must Have,待開始,Sprint 1
US-03,帳號管理,Epic 1,填寫個人資料,"身為已登入使用者，我想要填寫並更新基本資料（姓名、生日、性別、身分證號），以便預約時自動帶入。","1. 必填欄位未填時顯示錯誤
2. 更新後即時反映於預約流程
3. 身分證號格式驗證",Must Have,待開始,Sprint 1
US-04,套餐瀏覽,Epic 2,瀏覽健檢套餐,"身為使用者，我想要瀏覽所有可選的健檢套餐與項目說明，以便了解內容並做選擇。","1. 顯示每個套餐的完整檢查項目清單
2. 顯示費用（含稅）
3. 顯示預估所需時間",Must Have,待開始,Sprint 1
US-05,套餐瀏覽,Epic 2,加選附加項目,"身為使用者，我想要在選定套餐後加選單項附加檢查，以便根據個人需求客製化。","1. 加選後費用即時加總顯示
2. 與套餐重複的項目自動排除並提示
3. 可清除所有附加項目",Must Have,待開始,Sprint 2
US-06,預約排程,Epic 3,選擇日期與時段,"身為使用者，我想要選擇健檢中心、日期與時段，以便安排最方便的時間。","1. 日曆僅顯示可預約日期（不含假日與已滿場日）
2. 各時段即時顯示剩餘名額
3. 名額為 0 的時段自動灰出無法點選",Must Have,待開始,Sprint 2
US-07,預約排程,Epic 3,確認預約摘要,"身為使用者，我想要在確認預約前看到完整摘要（套餐、日期、費用），以便核對後再送出。","1. 顯示所有已選資訊（套餐、附加項目、中心、日期、時段、總費用）
2. 提供「返回修改」按鈕
3. 確認送出按鈕明顯且需二次確認",Must Have,待開始,Sprint 2
US-08,預約排程,Epic 3,收到預約確認通知,"身為使用者，我想要在送出預約後立即收到確認通知（Email + SMS），以便留存憑證。","1. 通知包含唯一預約代碼
2. 30 秒內送達（正常網路環境）
3. 通知含加入 Google / Apple 行事曆連結",Must Have,待開始,Sprint 2
US-09,預約管理,Epic 4,查看預約清單,"身為使用者，我想要查看過去及即將到來的預約清單，以便隨時掌握狀態。","1. 顯示狀態標籤（待確認 / 已確認 / 已完成 / 已取消）
2. 可依日期排序與篩選
3. 即將到來的預約排列在最前",Must Have,待開始,Sprint 2
US-10,預約管理,Epic 4,取消或改期,"身為使用者，我想要在健檢前 48 小時內取消或改期，以便因應臨時變動。","1. 距健檢不足 48 小時則無法線上取消，需顯示客服電話
2. 取消前需顯示確認彈窗
3. 頁面顯示退款規則說明",Must Have,待開始,Sprint 3
US-11,提醒與須知,Epic 5,健檢前提醒通知,"身為使用者，我想要在健檢前 3 天與 1 天收到提醒通知，以便準備禁食等前置事項。","1. 通知包含注意事項連結（禁食時間、穿著建議等）
2. 使用者可在設定中選擇通知方式（Email / SMS）
3. 已取消的預約不再發送提醒",Should Have,待開始,Sprint 3
US-12,提醒與須知,Epic 5,線上填寫健康問卷,"身為使用者，我想要線上填寫健康問卷，以便到院時減少等候時間。","1. 支援儲存草稿
2. 正式提交後不可修改（需重新聯絡客服）
3. 版面對行動裝置友善（RWD）",Should Have,待開始,Sprint 3
US-13,付款,Epic 6,線上預付款項,"身為使用者，我想要線上完成預付款項（信用卡 / 電子支付），以便確保預約位置不被釋出。","1. 支援 3D Secure 驗證
2. 支付失敗顯示明確原因並可重試
3. 支付成功後顯示電子收據並寄送 Email",Should Have,待開始,Sprint 4
